"Date","STATION","MAXC","MINC","FLAG"
1962-01-01,"North",-7,-16,NA
1962-01-02,"North",-2,-13,NA
1962-01-03,"North",2,-7,NA
1962-01-04,"North",-7,-12,NA
1962-01-05,"North",-12,-29,NA
1962-01-06,"North",-9,-29,NA
1962-01-07,"North",-12,-20,NA
1962-01-08,"North",-19,-26,NA
1962-01-09,"North",-21,-27,NA
1962-01-10,"North",-18,-31,NA
1962-01-11,"North",-8,-19,NA
1962-01-12,"North",-3,-22,NA
1962-01-13,"North",-9,-23,NA
1962-01-14,"North",-12,-27,NA
1962-01-15,"North",-14,-28,NA
1962-01-16,"North",-22,-36,NA
1962-01-17,"North",-24,-42,NA
1962-01-18,"North",-22,-37,NA
1962-01-19,"North",-21,-38,NA
1962-01-20,"North",-17,-37,NA
1962-01-21,"North",-14,-23,NA
1962-01-22,"North",-12,-22,NA
1962-01-23,"North",-6,-29,NA
1962-01-24,"North",0,-9,NA
1962-01-25,"North",-5,-15,NA
1962-01-26,"North",-3,-24,NA
1962-01-27,"North",-19,-31,NA
1962-01-28,"North",-16,-30,NA
1962-01-29,"North",-12,-24,NA
1962-01-30,"North",-19,-32,NA
1962-01-31,"North",-13,-26,NA
1962-02-01,"North",-11,-34,NA
1962-02-02,"North",1,-14,NA
1962-02-03,"North",5,-6,NA
1962-02-04,"North",-2,-17,NA
1962-02-05,"North",-17,-30,NA
1962-02-06,"North",-19,-37,NA
1962-02-07,"North",-21,-37,NA
1962-02-08,"North",-12,-38,NA
1962-02-09,"North",-10,-29,NA
1962-02-10,"North",-9,-20,NA
1962-02-11,"North",-3,-9,NA
1962-02-12,"North",1,-6,NA
1962-02-13,"North",-2,-5,NA
1962-02-14,"North",-3,-11,NA
1962-02-15,"North",-4,-11,NA
1962-02-16,"North",-7,-24,NA
1962-02-17,"North",-6,-26,NA
1962-02-18,"North",-5,-25,NA
1962-02-19,"North",-3,-23,NA
1962-02-20,"North",-10,-27,NA
1962-02-21,"North",-10,-20,NA
1962-02-22,"North",-3,-21,NA
1962-02-23,"North",-10,-19,NA
1962-02-24,"North",-9,-18,NA
1962-02-25,"North",-5,-22,NA
1962-02-26,"North",-10,-28,NA
1962-02-27,"North",-19,-33,NA
1962-02-28,"North",-20,-41,NA
1962-03-01,"North",-14,-41,NA
1962-03-02,"North",-7,-18,NA
1962-03-03,"North",-5,-13,NA
1962-03-04,"North",-1,-19,NA
1962-03-05,"North",-2,-22,NA
1962-03-06,"North",6,-18,NA
1962-03-07,"North",-2,-13,NA
1962-03-08,"North",0,-4,NA
1962-03-09,"North",5,-4,NA
1962-03-10,"North",3,-3,NA
1962-03-11,"North",3,-3,NA
1962-03-12,"North",-1,-5,NA
1962-03-13,"North",1,-10,NA
1962-03-14,"North",2,-8,NA
1962-03-15,"North",3,-9,NA
1962-03-16,"North",4,-7,NA
1962-03-17,"North",7,-14,NA
1962-03-18,"North",6,-15,NA
1962-03-19,"North",2,-2,NA
1962-03-20,"North",7,-8,NA
1962-03-21,"North",7,-11,NA
1962-03-22,"North",6,-8,NA
1962-03-23,"North",-1,-6,NA
1962-03-24,"North",7,-7,NA
1962-03-25,"North",2,-1,NA
1962-03-26,"North",4,-3,NA
1962-03-27,"North",8,-3,NA
1962-03-28,"North",10,1,NA
1962-03-29,"North",1,-4,NA
1962-03-30,"North",4,-7,NA
1962-03-31,"North",4,-12,NA
1962-04-01,"North",3,-6,NA
1962-04-02,"North",3,-10,NA
1962-04-03,"North",7,-9,NA
1962-04-04,"North",12,-3,NA
1962-04-05,"North",9,-4,NA
1962-04-06,"North",3,-9,NA
1962-04-07,"North",7,-10,NA
1962-04-08,"North",1,-3,NA
1962-04-09,"North",-3,-11,NA
1962-04-10,"North",1,-16,NA
1962-04-11,"North",3,-8,NA
1962-04-12,"North",4,-9,NA
1962-04-13,"North",3,-12,NA
1962-04-14,"North",-2,-10,NA
1962-04-15,"North",8,-14,NA
1962-04-16,"North",8,-6,NA
1962-04-17,"North",13,-1,NA
1962-04-18,"North",12,-3,NA
1962-04-19,"North",13,-4,NA
1962-04-20,"North",16,-2,NA
1962-04-21,"North",9,3,NA
1962-04-22,"North",9,-2,NA
1962-04-23,"North",16,-6,NA
1962-04-24,"North",29,3,NA
1962-04-25,"North",29,3,NA
1962-04-26,"North",21,-2,NA
1962-04-27,"North",6,2,NA
1962-04-28,"North",14,1,NA
1962-04-29,"North",9,1,NA
1962-04-30,"North",20,2,NA
1962-05-01,"North",21,0,NA
1962-05-02,"North",26,0,NA
1962-05-03,"North",27,-2,NA
1962-05-04,"North",29,1,NA
1962-05-05,"North",20,1,NA
1962-05-06,"North",4,-6,NA
1962-05-07,"North",3,-5,NA
1962-05-08,"North",3,-3,NA
1962-05-09,"North",10,1,NA
1962-05-10,"North",8,1,NA
1962-05-11,"North",14,6,NA
1962-05-12,"North",21,4,NA
1962-05-13,"North",14,10,NA
1962-05-14,"North",23,10,NA
1962-05-15,"North",28,7,NA
1962-05-16,"North",27,9,NA
1962-05-17,"North",29,8,NA
1962-05-18,"North",24,5,NA
1962-05-19,"North",17,9,NA
1962-05-20,"North",17,3,NA
1962-05-21,"North",16,3,NA
1962-05-22,"North",16,6,NA
1962-05-23,"North",16,9,NA
1962-05-24,"North",16,2,NA
1962-05-25,"North",19,-1,NA
1962-05-26,"North",22,-1,NA
1962-05-27,"North",23,4,NA
1962-05-28,"North",17,3,NA
1962-05-29,"North",24,13,NA
1962-05-30,"North",19,10,NA
1962-05-31,"North",11,5,NA
1962-06-01,"North",15,-1,NA
1962-06-02,"North",22,-2,NA
1962-06-03,"North",23,1,NA
1962-06-04,"North",14,9,NA
1962-06-05,"North",18,12,NA
1962-06-06,"North",21,13,NA
1962-06-07,"North",24,12,NA
1962-06-08,"North",26,13,NA
1962-06-09,"North",23,9,NA
1962-06-10,"North",27,12,NA
1962-06-11,"North",22,4,NA
1962-06-12,"North",26,-1,NA
1962-06-13,"North",27,1,NA
1962-06-14,"North",28,7,NA
1962-06-15,"North",28,12,NA
1962-06-16,"North",25,14,NA
1962-06-17,"North",14,9,NA
1962-06-18,"North",18,6,NA
1962-06-19,"North",22,6,NA
1962-06-20,"North",21,3,NA
1962-06-21,"North",23,7,NA
1962-06-22,"North",26,7,NA
1962-06-23,"North",26,7,NA
1962-06-24,"North",28,9,NA
1962-06-25,"North",28,8,NA
1962-06-26,"North",27,8,NA
1962-06-27,"North",29,11,NA
1962-06-28,"North",31,16,NA
1962-06-29,"North",27,11,NA
1962-06-30,"North",29,9,NA
1962-07-01,"North",20,11,NA
1962-07-02,"North",16,14,NA
1962-07-03,"North",22,14,NA
1962-07-04,"North",20,16,NA
1962-07-05,"North",28,11,NA
1962-07-06,"North",26,13,NA
1962-07-07,"North",26,17,NA
1962-07-08,"North",23,10,NA
1962-07-09,"North",25,8,NA
1962-07-10,"North",24,7,NA
1962-07-11,"North",22,5,NA
1962-07-12,"North",23,7,NA
1962-07-13,"North",23,5,NA
1962-07-14,"North",21,3,NA
1962-07-15,"North",20,4,NA
1962-07-16,"North",22,8,NA
1962-07-17,"North",24,6,NA
1962-07-18,"North",28,6,NA
1962-07-19,"North",20,11,NA
1962-07-20,"North",18,9,NA
1962-07-21,"North",23,7,NA
1962-07-22,"North",18,7,NA
1962-07-23,"North",23,4,NA
1962-07-24,"North",24,10,NA
1962-07-25,"North",19,4,NA
1962-07-26,"North",23,4,NA
1962-07-27,"North",24,4,NA
1962-07-28,"North",25,9,NA
1962-07-29,"North",27,7,NA
1962-07-30,"North",21,4,NA
1962-07-31,"North",22,7,NA
1962-08-01,"North",25,6,NA
1962-08-02,"North",29,8,NA
1962-08-03,"North",26,13,NA
1962-08-04,"North",25,11,NA
1962-08-05,"North",28,16,NA
1962-08-06,"North",24,14,NA
1962-08-07,"North",27,11,NA
1962-08-08,"North",20,8,NA
1962-08-09,"North",23,5,NA
1962-08-10,"North",26,7,NA
1962-08-11,"North",16,14,NA
1962-08-12,"North",20,15,NA
1962-08-13,"North",26,8,NA
1962-08-14,"North",24,8,NA
1962-08-15,"North",24,11,NA
1962-08-16,"North",20,4,NA
1962-08-17,"North",22,2,NA
1962-08-18,"North",23,7,NA
1962-08-19,"North",27,9,NA
1962-08-20,"North",26,9,NA
1962-08-21,"North",27,8,NA
1962-08-22,"North",28,12,NA
1962-08-23,"North",28,10,NA
1962-08-24,"North",22,7,NA
1962-08-25,"North",28,4,NA
1962-08-26,"North",28,9,NA
1962-08-27,"North",31,13,NA
1962-08-28,"North",23,9,NA
1962-08-29,"North",22,6,NA
1962-08-30,"North",18,4,NA
1962-08-31,"North",21,6,NA
1962-09-01,"North",24,4,NA
1962-09-02,"North",28,10,NA
1962-09-03,"North",18,8,NA
1962-09-04,"North",15,2,NA
1962-09-05,"North",19,2,NA
1962-09-06,"North",21,8,NA
1962-09-07,"North",26,11,NA
1962-09-08,"North",22,16,NA
1962-09-09,"North",16,11,NA
1962-09-10,"North",11,8,NA
1962-09-11,"North",20,8,NA
1962-09-12,"North",24,8,NA
1962-09-13,"North",21,6,NA
1962-09-14,"North",19,2,NA
1962-09-15,"North",21,-1,NA
1962-09-16,"North",19,12,NA
1962-09-17,"North",17,4,NA
1962-09-18,"North",16,1,NA
1962-09-19,"North",12,-7,NA
1962-09-20,"North",14,-1,NA
1962-09-21,"North",18,3,NA
1962-09-22,"North",17,1,NA
1962-09-23,"North",15,3,NA
1962-09-24,"North",15,1,NA
1962-09-25,"North",18,-3,NA
1962-09-26,"North",12,6,NA
1962-09-27,"North",14,-2,NA
1962-09-28,"North",18,4,NA
1962-09-29,"North",19,0,NA
1962-09-30,"North",23,2,NA
1962-10-01,"North",24,-1,NA
1962-10-02,"North",24,0,NA
1962-10-03,"North",23,3,NA
1962-10-04,"North",16,6,NA
1962-10-05,"North",18,2,NA
1962-10-06,"North",20,2,NA
1962-10-07,"North",13,6,NA
1962-10-08,"North",16,4,NA
1962-10-09,"North",20,4,NA
1962-10-10,"North",21,4,NA
1962-10-11,"North",21,3,NA
1962-10-12,"North",16,-2,NA
1962-10-13,"North",17,4,NA
1962-10-14,"North",20,12,NA
1962-10-15,"North",21,7,NA
1962-10-16,"North",10,-2,NA
1962-10-17,"North",14,-3,NA
1962-10-18,"North",17,0,NA
1962-10-19,"North",11,-6,NA
1962-10-20,"North",12,-8,NA
1962-10-21,"North",12,1,NA
1962-10-22,"North",6,-1,NA
1962-10-23,"North",3,-5,NA
1962-10-24,"North",4,-7,NA
1962-10-25,"North",0,-12,NA
1962-10-26,"North",3,-10,NA
1962-10-27,"North",17,-4,NA
1962-10-28,"North",5,-2,NA
1962-10-29,"North",9,0,NA
1962-10-30,"North",4,-4,NA
1962-10-31,"North",6,-8,NA
1962-11-01,"North",6,-6,NA
1962-11-02,"North",1,-12,NA
1962-11-03,"North",5,-11,NA
1962-11-04,"North",0,-9,NA
1962-11-05,"North",-2,-17,NA
1962-11-06,"North",3,-4,NA
1962-11-07,"North",4,-6,NA
1962-11-08,"North",3,-3,NA
1962-11-09,"North",6,-7,NA
1962-11-10,"North",4,-8,NA
1962-11-11,"North",3,1,NA
1962-11-12,"North",12,-3,NA
1962-11-13,"North",1,-3,NA
1962-11-14,"North",4,0,NA
1962-11-15,"North",2,-1,NA
1962-11-16,"North",-3,-6,NA
1962-11-17,"North",-5,-6,NA
1962-11-18,"North",-2,-6,NA
1962-11-19,"North",0,-6,NA
1962-11-20,"North",8,-1,NA
1962-11-21,"North",1,-7,NA
1962-11-22,"North",-2,-11,NA
1962-11-23,"North",4,-7,NA
1962-11-24,"North",7,-7,NA
1962-11-25,"North",7,-6,NA
1962-11-26,"North",9,-2,NA
1962-11-27,"North",6,3,NA
1962-11-28,"North",5,2,NA
1962-11-29,"North",6,-1,NA
1962-11-30,"North",7,3,NA
1962-12-01,"North",13,3,NA
1962-12-02,"North",10,-7,NA
1962-12-03,"North",11,-1,NA
1962-12-04,"North",0,-9,NA
1962-12-05,"North",-9,-13,NA
1962-12-06,"North",-7,-21,NA
1962-12-07,"North",-4,-21,NA
1962-12-08,"North",-7,-12,NA
1962-12-09,"North",-12,-20,NA
1962-12-10,"North",-20,-24,NA
1962-12-11,"North",-23,-28,NA
1962-12-12,"North",-14,-31,NA
1962-12-13,"North",-9,-22,NA
1962-12-14,"North",-10,-23,NA
1962-12-15,"North",-6,-10,NA
1962-12-16,"North",-1,-7,NA
1962-12-17,"North",2,-8,NA
1962-12-18,"North",7,-2,NA
1962-12-19,"North",-1,-19,NA
1962-12-20,"North",-5,-24,NA
1962-12-21,"North",-3,-9,NA
1962-12-22,"North",-3,-18,NA
1962-12-23,"North",-16,-28,NA
1962-12-24,"North",-14,-23,NA
1962-12-25,"North",-12,-33,NA
1962-12-26,"North",-12,-36,NA
1962-12-27,"North",-12,-21,NA
1962-12-28,"North",-1,-17,NA
1962-12-29,"North",-17,-29,NA
1962-12-30,"North",-14,-31,NA
1962-12-31,"North",-7,-14,NA
1963-01-01,"North",-4,-7,NA
1963-01-02,"North",-4,-6,NA
1963-01-03,"North",-4,-9,NA
1963-01-04,"North",-3,-8,NA
1963-01-05,"North",-6,-14,NA
1963-01-06,"North",0,-10,NA
1963-01-07,"North",4,-2,NA
1963-01-08,"North",4,-5,NA
1963-01-09,"North",-2,-22,NA
1963-01-10,"North",-19,-28,NA
1963-01-11,"North",-25,-29,NA
1963-01-12,"North",-22,-31,NA
1963-01-13,"North",-22,-33,NA
1963-01-14,"North",-28,-38,NA
1963-01-15,"North",-21,-39,NA
1963-01-16,"North",-20,-34,NA
1963-01-17,"North",-9,-34,NA
1963-01-18,"North",-26,-39,NA
1963-01-19,"North",-23,-43,NA
1963-01-20,"North",-24,-28,NA
1963-01-21,"North",-22,-34,NA
1963-01-22,"North",-22,-34,NA
1963-01-23,"North",-21,-30,NA
1963-01-24,"North",-18,-26,NA
1963-01-25,"North",-16,-33,NA
1963-01-26,"North",-16,-35,NA
1963-01-27,"North",-14,-35,NA
1963-01-28,"North",-14,-24,NA
1963-01-29,"North",-18,-29,NA
1963-01-30,"North",-12,-33,NA
1963-01-31,"North",-4,-23,NA
1963-02-01,"North",-4,-18,NA
1963-02-02,"North",-18,-30,NA
1963-02-03,"North",-16,-33,NA
1963-02-04,"North",-8,-16,NA
1963-02-05,"North",7,-12,NA
1963-02-06,"North",2,-6,NA
1963-02-07,"North",-4,-11,NA
1963-02-08,"North",-4,-21,NA
1963-02-09,"North",-8,-25,NA
1963-02-10,"North",-10,-18,NA
1963-02-11,"North",-7,-13,NA
1963-02-12,"North",1,-14,NA
1963-02-13,"North",-6,-19,NA
1963-02-14,"North",-11,-26,NA
1963-02-15,"North",-9,-32,NA
1963-02-16,"North",-4,-14,NA
1963-02-17,"North",0,-11,NA
1963-02-18,"North",-11,-22,NA
1963-02-19,"North",-5,-21,NA
1963-02-20,"North",-17,-30,NA
1963-02-21,"North",-18,-33,NA
1963-02-22,"North",-9,-29,NA
1963-02-23,"North",-7,-34,NA
1963-02-24,"North",-9,-28,NA
1963-02-25,"North",-12,-32,NA
1963-02-26,"North",-3,-32,NA
1963-02-27,"North",-3,-18,NA
1963-02-28,"North",-9,-27,NA
1963-03-01,"North",-1,-12,NA
1963-03-02,"North",2,-13,NA
1963-03-03,"North",0,-14,NA
1963-03-04,"North",3,-18,NA
1963-03-05,"North",8,-24,NA
1963-03-06,"North",0,-14,NA
1963-03-07,"North",-2,-17,NA
1963-03-08,"North",-7,-29,NA
1963-03-09,"North",-8,-29,NA
1963-03-10,"North",-3,-32,NA
1963-03-11,"North",-2,-12,NA
1963-03-12,"North",0,-11,NA
1963-03-13,"North",1,-18,NA
1963-03-14,"North",4,-19,NA
1963-03-15,"North",6,-7,NA
1963-03-16,"North",7,-1,NA
1963-03-17,"North",-1,-16,NA
1963-03-18,"North",1,-19,NA
1963-03-19,"North",-1,-10,NA
1963-03-20,"North",-1,-9,NA
1963-03-21,"North",6,-18,NA
1963-03-22,"North",11,-4,NA
1963-03-23,"North",17,-2,NA
1963-03-24,"North",20,1,NA
1963-03-25,"North",6,-2,NA
1963-03-26,"North",12,-6,NA
1963-03-27,"North",8,-7,NA
1963-03-28,"North",12,-7,NA
1963-03-29,"North",17,8,NA
1963-03-30,"North",15,-2,NA
1963-03-31,"North",22,1,NA
1963-04-01,"North",12,6,NA
1963-04-02,"North",8,0,NA
1963-04-03,"North",4,-9,NA
1963-04-04,"North",6,-11,NA
1963-04-05,"North",16,-3,NA
1963-04-06,"North",17,-7,NA
1963-04-07,"North",9,1,NA
1963-04-08,"North",12,-1,NA
1963-04-09,"North",8,-6,NA
1963-04-10,"North",9,-10,NA
1963-04-11,"North",12,-9,NA
1963-04-12,"North",11,-3,NA
1963-04-13,"North",13,-6,NA
1963-04-14,"North",19,-8,NA
1963-04-15,"North",23,1,NA
1963-04-16,"North",18,7,NA
1963-04-17,"North",8,-10,NA
1963-04-18,"North",9,-12,NA
1963-04-19,"North",4,-2,NA
1963-04-20,"North",2,-5,NA
1963-04-21,"North",8,-5,NA
1963-04-22,"North",1,-5,NA
1963-04-23,"North",11,-6,NA
1963-04-24,"North",14,-7,NA
1963-04-25,"North",19,0,NA
1963-04-26,"North",21,-2,NA
1963-04-27,"North",22,1,NA
1963-04-28,"North",16,8,NA
1963-04-29,"North",8,-1,NA
1963-04-30,"North",14,-3,NA
1963-05-01,"North",19,1,NA
1963-05-02,"North",18,4,NA
1963-05-03,"North",17,3,NA
1963-05-04,"North",14,-3,NA
1963-05-05,"North",12,-6,NA
1963-05-06,"North",20,-2,NA
1963-05-07,"North",29,8,NA
1963-05-08,"North",26,7,NA
1963-05-09,"North",17,3,NA
1963-05-10,"North",14,-3,NA
1963-05-11,"North",16,-6,NA
1963-05-12,"North",13,3,NA
1963-05-13,"North",9,3,NA
1963-05-14,"North",11,-1,NA
1963-05-15,"North",21,0,NA
1963-05-16,"North",21,3,NA
1963-05-17,"North",22,8,NA
1963-05-18,"North",9,-1,NA
1963-05-19,"North",8,-3,NA
1963-05-20,"North",11,2,NA
1963-05-21,"North",7,1,NA
1963-05-22,"North",12,-2,NA
1963-05-23,"North",17,-6,NA
1963-05-24,"North",22,-2,NA
1963-05-25,"North",24,2,NA
1963-05-26,"North",18,12,NA
1963-05-27,"North",16,8,NA
1963-05-28,"North",15,1,NA
1963-05-29,"North",23,7,NA
1963-05-30,"North",25,1,NA
1963-05-31,"North",21,12,NA
1963-06-01,"North",24,13,NA
1963-06-02,"North",26,13,NA
1963-06-03,"North",28,13,NA
1963-06-04,"North",27,13,NA
1963-06-05,"North",23,12,NA
1963-06-06,"North",19,11,NA
1963-06-07,"North",27,10,NA
1963-06-08,"North",25,9,NA
1963-06-09,"North",20,7,NA
1963-06-10,"North",8,2,NA
1963-06-11,"North",12,1,NA
1963-06-12,"North",18,-2,NA
1963-06-13,"North",19,10,NA
1963-06-14,"North",22,6,NA
1963-06-15,"North",22,4,NA
1963-06-16,"North",23,4,NA
1963-06-17,"North",27,5,NA
1963-06-18,"North",23,9,NA
1963-06-19,"North",19,5,NA
1963-06-20,"North",21,3,NA
1963-06-21,"North",22,1,NA
1963-06-22,"North",24,9,NA
1963-06-23,"North",27,14,NA
1963-06-24,"North",30,18,NA
1963-06-25,"North",29,13,NA
1963-06-26,"North",28,10,NA
1963-06-27,"North",29,11,NA
1963-06-28,"North",28,13,NA
1963-06-29,"North",29,16,NA
1963-06-30,"North",29,21,NA
1963-07-01,"North",24,13,NA
1963-07-02,"North",18,4,NA
1963-07-03,"North",25,3,NA
1963-07-04,"North",26,6,NA
1963-07-05,"North",28,9,NA
1963-07-06,"North",29,14,NA
1963-07-07,"North",26,12,NA
1963-07-08,"North",26,11,NA
1963-07-09,"North",28,8,NA
1963-07-10,"North",28,12,NA
1963-07-11,"North",26,16,NA
1963-07-12,"North",28,18,NA
1963-07-13,"North",26,14,NA
1963-07-14,"North",17,11,NA
1963-07-15,"North",21,12,NA
1963-07-16,"North",22,11,NA
1963-07-17,"North",24,10,NA
1963-07-18,"North",24,10,NA
1963-07-19,"North",24,12,NA
1963-07-20,"North",28,11,NA
1963-07-21,"North",29,13,NA
1963-07-22,"North",31,12,NA
1963-07-23,"North",29,11,NA
1963-07-24,"North",24,14,NA
1963-07-25,"North",27,14,NA
1963-07-26,"North",28,18,NA
1963-07-27,"North",21,17,NA
1963-07-28,"North",21,10,NA
1963-07-29,"North",26,8,NA
1963-07-30,"North",22,11,NA
1963-07-31,"North",24,11,NA
1963-08-01,"North",24,10,NA
1963-08-02,"North",26,12,NA
1963-08-03,"North",25,13,NA
1963-08-04,"North",28,10,NA
1963-08-05,"North",28,14,NA
1963-08-06,"North",28,12,NA
1963-08-07,"North",26,9,NA
1963-08-08,"North",26,8,NA
1963-08-09,"North",23,7,NA
1963-08-10,"North",24,5,NA
1963-08-11,"North",23,9,NA
1963-08-12,"North",22,13,NA
1963-08-13,"North",19,10,NA
1963-08-14,"North",21,3,NA
1963-08-15,"North",21,5,NA
1963-08-16,"North",12,2,NA
1963-08-17,"North",19,1,NA
1963-08-18,"North",18,3,NA
1963-08-19,"North",26,9,NA
1963-08-20,"North",28,7,NA
1963-08-21,"North",23,11,NA
1963-08-22,"North",21,9,NA
1963-08-23,"North",25,9,NA
1963-08-24,"North",20,7,NA
1963-08-25,"North",19,6,NA
1963-08-26,"North",19,8,NA
1963-08-27,"North",23,13,NA
1963-08-28,"North",24,8,NA
1963-08-29,"North",18,7,NA
1963-08-30,"North",18,7,NA
1963-08-31,"North",21,6,NA
1963-09-01,"North",24,5,NA
1963-09-02,"North",21,11,NA
1963-09-03,"North",21,10,NA
1963-09-04,"North",20,7,NA
1963-09-05,"North",23,10,NA
1963-09-06,"North",24,11,NA
1963-09-07,"North",19,7,NA
1963-09-08,"North",24,8,NA
1963-09-09,"North",24,5,NA
1963-09-10,"North",26,12,NA
1963-09-11,"North",25,7,NA
1963-09-12,"North",13,-1,NA
1963-09-13,"North",16,-2,NA
1963-09-14,"North",20,4,NA
1963-09-15,"North",19,13,NA
1963-09-16,"North",20,12,NA
1963-09-17,"North",22,13,NA
1963-09-18,"North",19,8,NA
1963-09-19,"North",16,2,NA
1963-09-20,"North",20,5,NA
1963-09-21,"North",14,-1,NA
1963-09-22,"North",14,-2,NA
1963-09-23,"North",14,4,NA
1963-09-24,"North",16,11,NA
1963-09-25,"North",22,6,NA
1963-09-26,"North",25,3,NA
1963-09-27,"North",19,9,NA
1963-09-28,"North",12,0,NA
1963-09-29,"North",19,-1,NA
1963-09-30,"North",25,2,NA
1963-10-01,"North",26,8,NA
1963-10-02,"North",18,6,NA
1963-10-03,"North",18,0,NA
1963-10-04,"North",23,6,NA
1963-10-05,"North",31,8,NA
1963-10-06,"North",14,9,NA
1963-10-07,"North",14,1,NA
1963-10-08,"North",18,0,NA
1963-10-09,"North",21,-1,NA
1963-10-10,"North",18,5,NA
1963-10-11,"North",21,1,NA
1963-10-12,"North",22,-3,NA
1963-10-13,"North",24,4,NA
1963-10-14,"North",26,11,NA
1963-10-15,"North",26,9,NA
1963-10-16,"North",26,6,NA
1963-10-17,"North",17,7,NA
1963-10-18,"North",20,7,NA
1963-10-19,"North",16,7,NA
1963-10-20,"North",13,10,NA
1963-10-21,"North",15,10,NA
1963-10-22,"North",21,12,NA
1963-10-23,"North",24,6,NA
1963-10-24,"North",19,3,NA
1963-10-25,"North",18,-2,NA
1963-10-26,"North",14,-1,NA
1963-10-27,"North",12,-3,NA
1963-10-28,"North",8,-6,NA
1963-10-29,"North",7,-9,NA
1963-10-30,"North",12,0,NA
1963-10-31,"North",7,-1,NA
1963-11-01,"North",4,-9,NA
1963-11-02,"North",6,-12,NA
1963-11-03,"North",14,-4,NA
1963-11-04,"North",12,-7,NA
1963-11-05,"North",14,-6,NA
1963-11-06,"North",12,-6,NA
1963-11-07,"North",10,-7,NA
1963-11-08,"North",6,6,NA
1963-11-09,"North",10,-1,NA
1963-11-10,"North",2,-1,NA
1963-11-11,"North",1,-1,NA
1963-11-12,"North",-1,-3,NA
1963-11-13,"North",-1,-3,NA
1963-11-14,"North",2,-3,NA
1963-11-15,"North",5,-3,NA
1963-11-16,"North",7,-2,NA
1963-11-17,"North",9,-7,NA
1963-11-18,"North",8,-7,NA
1963-11-19,"North",8,-7,NA
1963-11-20,"North",4,-1,NA
1963-11-21,"North",0,-3,NA
1963-11-22,"North",1,-11,NA
1963-11-23,"North",-7,-17,NA
1963-11-24,"North",-4,-19,NA
1963-11-25,"North",-1,-4,NA
1963-11-26,"North",5,-4,NA
1963-11-27,"North",3,-1,NA
1963-11-28,"North",2,-5,NA
1963-11-29,"North",-1,-7,NA
1963-11-30,"North",-7,-21,NA
1963-12-01,"North",-9,-23,NA
1963-12-02,"North",-7,-14,NA
1963-12-03,"North",-5,-12,NA
1963-12-04,"North",-5,-7,NA
1963-12-05,"North",4,-6,NA
1963-12-06,"North",6,-9,NA
1963-12-07,"North",1,-2,NA
1963-12-08,"North",1,-12,NA
1963-12-09,"North",-9,-13,NA
1963-12-10,"North",-10,-18,NA
1963-12-11,"North",-10,-24,NA
1963-12-12,"North",-11,-24,NA
1963-12-13,"North",-9,-23,NA
1963-12-14,"North",-13,-21,NA
1963-12-15,"North",-16,-29,NA
1963-12-16,"North",-16,-36,NA
1963-12-17,"North",-17,-27,NA
1963-12-18,"North",-17,-32,NA
1963-12-19,"North",-24,-31,NA
1963-12-20,"North",-21,-33,NA
1963-12-21,"North",-17,-31,NA
1963-12-22,"North",-14,-34,NA
1963-12-23,"North",-6,-18,NA
1963-12-24,"North",1,-10,NA
1963-12-25,"North",-5,-11,NA
1963-12-26,"North",-10,-17,NA
1963-12-27,"North",-16,-23,NA
1963-12-28,"North",-20,-31,NA
1963-12-29,"North",-19,-33,NA
1963-12-30,"North",-14,-35,NA
1963-12-31,"North",-5,-19,NA
1964-01-01,"North",6,-7,NA
1964-01-02,"North",3,-8,NA
1964-01-03,"North",0,-7,NA
1964-01-04,"North",-1,-10,NA
1964-01-05,"North",-6,-14,NA
1964-01-06,"North",-4,-13,NA
1964-01-07,"North",-4,-8,NA
1964-01-08,"North",-2,-10,NA
1964-01-09,"North",-10,-26,NA
1964-01-10,"North",-17,-31,NA
1964-01-11,"North",-17,-30,NA
1964-01-12,"North",-11,-32,NA
1964-01-13,"North",-9,-28,NA
1964-01-14,"North",-6,-21,NA
1964-01-15,"North",-6,-14,NA
1964-01-16,"North",-3,-8,NA
1964-01-17,"North",3,-13,NA
1964-01-18,"North",-7,-24,NA
1964-01-19,"North",0,-13,NA
1964-01-20,"North",-1,-18,NA
1964-01-21,"North",-1,-9,NA
1964-01-22,"North",1,-12,NA
1964-01-23,"North",-10,-21,NA
1964-01-24,"North",-9,-14,NA
1964-01-25,"North",-12,-18,NA
1964-01-26,"North",-10,-20,NA
1964-01-27,"North",-16,-29,NA
1964-01-28,"North",-12,-31,NA
1964-01-29,"North",-7,-21,NA
1964-01-30,"North",-2,-21,NA
1964-01-31,"North",1,-14,NA
1964-02-01,"North",-6,-21,NA
1964-02-02,"North",-4,-25,NA
1964-02-03,"North",-2,-24,NA
1964-02-04,"North",6,-11,NA
1964-02-05,"North",2,-17,NA
1964-02-06,"North",-3,-14,NA
1964-02-07,"North",-11,-28,NA
1964-02-08,"North",-10,-32,NA
1964-02-09,"North",-8,-29,NA
1964-02-10,"North",-3,-29,NA
1964-02-11,"North",-1,-13,NA
1964-02-12,"North",-1,-8,NA
1964-02-13,"North",-3,-19,NA
1964-02-14,"North",2,-16,NA
1964-02-15,"North",-4,-20,NA
1964-02-16,"North",-1,-24,NA
1964-02-17,"North",2,-12,NA
1964-02-18,"North",0,-14,NA
1964-02-19,"North",-6,-17,NA
1964-02-20,"North",-8,-21,NA
1964-02-21,"North",-6,-27,NA
