"","month","meanPrecip","meanWTE","meanQ","meanT","totPrecip","totQ","S2S_SH","S2S_DP","S2N_SH","S2N_DP"
"1",2011-02-01,0.035,421.858846153846,5.28036375139209e-06,-10.8269230769231,0.91,0.000137289457536194,0.181328914141414,0.401433080808081,0.251185897435897,0.285377492877493
"2",2011-03-01,0.0354838709677419,421.845806451613,1.94145136731647e-05,-4.96774193548387,1.1,0.000582435410194941,0.162311921296296,0.398718171296296,0.254133811230585,0.28502688172043
"3",2011-04-01,0.363333333333333,421.993666666667,0.00166375536721511,3.76666666666667,10.9,0.0499126610164534,0.26022087191358,0.439362461419753,0.299959104938272,0.297086419753086
"4",2011-05-01,0.198387096774194,421.948387096774,0.000875165235174324,10.6451612903226,6.15,0.027130122290404,0.223820191158901,0.455391278375149,0.275301672640382,0.303263142174433
"5",2011-06-01,0.454,421.930666666667,0.000894316631433768,15.0166666666667,13.62,0.0268294989430131,0.198043981481481,0.44866512345679,0.253672067901235,0.29977237654321
"6",2011-07-01,0.344193548387097,421.92935483871,0.000638004213879565,20.4032258064516,10.67,0.0197781306302665,0.161156660692951,0.444970131421744,0.205455495818399,0.291327658303465
"7",2011-08-01,0.417741935483871,421.950322580645,0.00097756598103723,18.9032258064516,12.95,0.0303045454121541,0.179581093189964,0.436876493428913,0.245520061728395,0.299470679012346
"8",2011-09-01,0.113333333333333,421.856333333333,0,12.2,3.4,0,0.0813589324618736,0.361941550925926,0.120046296296296,0.23064274691358
"9",2011-10-01,0.234838709677419,421.886774193548,2.67312346390169e-05,7.85483870967742,7.28,0.000828668273809524,0.151529271206691,0.368611111111111,0.17651284348865,0.243175029868578
"10",2011-11-01,0.083,421.893,2.5645339979798e-05,-0.9,2.49,0.000769360199393939,0.183074074074074,0.386496141975309,0.206128086419753,0.257498456790123
"11",2011-12-01,0.0283870967741935,421.840967741935,2.85864301075269e-06,-7.12903225806452,0.88,8.86179333333333e-05,0.102133363201912,0.38159348864994,0.105301672640382,0.248151135005974
"12",2012-01-01,0.106451612903226,421.738387096774,0,-10.0967741935484,3.3,0,0.0545467443249701,0.336145459976105,0.0653121266427718,0.18364247311828
"13",2012-02-01,0.127586206896552,421.648620689655,0,-6.43103448275862,3.7,0,0.0523028416347382,0.281993933588761,0.0618614303959132,0.151060025542784
"14",2012-03-01,0.184838709677419,421.835161290323,0.000934805118768639,3.09677419354839,5.73,0.0280441535630592,0.157933094384707,0.340392025089606,0.188918010752688,0.195802718040621
"15",2012-04-01,0.383,421.963333333333,0.00269996081435395,5.06666666666667,11.49,0.0809988244306184,0.225992283950617,0.431234567901235,0.254827160493827,0.288242283950617
"16",2012-05-01,0.461612903225806,421.939032258065,0.00119727311248175,12.4354838709677,14.31,0.0371154664869341,0.212241636798088,0.45400238948626,0.252967443249701,0.2969743130227
"17",2012-06-01,0.329333333333333,421.936666666667,0.000496447583485671,17.3166666666667,9.88,0.0148934275045701,0.189564043209877,0.438270833333333,0.228086419753086,0.295056327160494
"18",2012-07-01,0.305161290322581,421.911935483871,5.12140608838347e-05,21.3064516129032,9.46,0.00158763588739888,0.144719235364397,0.397475358422939,0.174315262843489,0.272272998805257
"19",2012-08-01,0.147741935483871,421.867096774194,0,17.9838709677419,4.58,0,0.0851418757467145,0.358275836320191,0.117631421744325,0.225075418160096
"20",2012-09-01,0.0493333333333333,421.655,0,12.05,1.48,0,0.0535972222222222,0.324675154320988,0.0841612654320988,0.175898148148148
"21",2012-10-01,0.24258064516129,421.658387096774,0,4.61290322580645,7.52,0,0.100735513739546,0.301922789725209,0.132279719235364,0.179233870967742
"22",2012-11-01,0.206666666666667,421.867333333333,3.88386490666667e-05,-1.91666666666667,6.2,0.001165159472,0.16430462962963,0.381308333333333,0.188178240740741,0.254262345679012
"23",2012-12-01,0.0980645161290323,421.833225806452,6.63249801971326e-06,-10.3064516129032,3.04,0.000205607438611111,0.131824779541446,0.364875198412698,0.147143070489845,0.265121714456392
"24",2013-01-01,0.191935483870968,421.749032258065,0,-12.9677419354839,5.95,0,0.0993449294532628,0.348442063492063,0.0896617383512545,0.244054659498208
"25",2013-02-01,0.138928571428571,421.661071428571,0,-11.6785714285714,3.89,0,0.0668650793650794,0.332008928571429,0.0837574404761905,0.213435846560847
"26",2013-03-01,0.210967741935484,421.650322580645,3.70389565972222e-06,-6.70967741935484,6.54,0.000111116869791667,0.0703950119474313,0.325499551971326,0.100931964573269,0.216709943639291
"27",2013-04-01,0.356666666666667,421.853,0.000536206038070448,0.316666666666667,10.7,0.0160861811421134,0.122273919753086,0.364285493827161,0.172059413580247,0.254773148148148
"28",2013-05-01,0.227096774193548,421.988387096774,0.00243661803248817,9.45161290322581,7.04,0.0755351590071332,0.191790621266428,0.430015681003584,0.230427120669056,0.284926075268817
"29",2013-06-01,0.294,421.932666666667,0.000389546680560616,15.7,8.82,0.0116864004168185,0.177933641975309,0.445113425925926,0.219378086419753,0.291204475308642
"30",2013-07-01,0.341612903225806,421.914193548387,0.000269928031626218,18.7741935483871,10.59,0.00836776898041275,0.17104091995221,0.436271654719235,0.188053315412186,0.282337216248507
"31",2013-08-01,0.194193548387097,421.843225806452,0,18.9516129032258,6.02,0,0.10617656449553,0.359680212620027,0.117345430107527,0.232775537634409
"32",2013-09-01,0.101333333333333,421.804333333333,0,14.2666666666667,3.04,0,0.09328125,0.287494212962963,0.102688271604938,0.202367283950617
"33",2013-10-01,0.284193548387097,421.894193548387,0.000130861344798925,5.48387096774194,8.81,0.00405670168876667,0.120899884259259,0.347080439814815,0.173034647550777,0.234022550776583
"34",2013-11-01,0.0913333333333333,421.893333333333,7.69069166666667e-05,-3.7,2.74,0.0023072075,0.148518518518519,0.406666666666667,0.189533179012346,0.26065200617284
"35",2013-12-01,0.209032258064516,421.843225806452,1.59392374423963e-05,-18.0483870967742,6.48,0.000494116360714286,0.165331196581197,0.388383190883191,0.166875,0.255078405017921
"36",2014-01-01,0.0848387096774194,421.758064516129,0,-19.0967741935484,2.63,0,0.170482579534663,0.372742832977208,0.120766129032258,0.247514187574671
"37",2014-02-01,0.162857142857143,421.667857142857,0,-16.9107142857143,4.56,0,0.175633962488129,0.357102475071225,0.0977992724867725,0.227161044973545
